ID,Name,Refl_file,Specular,m_d_tot,m_d,m_w_tot,V_tot,SMCv,SMCg,Clay,Silt,Sand,Density,OM,L,eps,d,K,a,psi,Slope,Intercept
1,Ithaca soil,phil14_083.csv,0,57.34,26.94,62.33,24.50,20.37,18.52,192,770,38,0.95,53,0.0027,0.49,0.0514,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_084.csv,0,57.34,26.94,62.24,24.50,20.00,18.19,192,770,38,0.95,53,0.0056,0.35,0.1190,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_085.csv,0,57.34,26.94,62.14,24.50,19.59,17.82,192,770,38,0.95,53,0.0056,0.34,0.1208,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_086.csv,0,57.34,26.94,62.04,24.50,19.18,17.45,192,770,38,0.95,53,0.0057,0.33,0.1183,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_087.csv,0,57.34,26.94,61.94,24.50,18.78,17.07,192,770,38,0.95,53,0.0056,0.32,0.1161,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_088.csv,0,57.34,26.94,61.85,24.50,18.41,16.74,192,770,38,0.95,53,0.0054,0.31,0.1074,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_089.csv,0,57.34,26.94,61.75,24.50,18.00,16.37,192,770,38,0.95,53,0.0055,0.30,0.1073,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_090.csv,0,57.34,26.94,61.66,24.50,17.63,16.04,192,770,38,0.95,53,0.0056,0.28,0.0998,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_091.csv,0,57.34,26.94,61.57,24.50,17.27,15.70,192,770,38,0.95,53,0.0053,0.27,0.0989,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_092.csv,0,57.34,26.94,61.48,24.50,16.90,15.37,192,770,38,0.95,53,0.0054,0.25,0.1012,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_093.csv,0,57.34,26.94,61.39,24.50,16.53,15.03,192,770,38,0.95,53,0.0053,0.24,0.0827,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_094.csv,0,57.34,26.94,61.29,24.50,16.12,14.66,192,770,38,0.95,53,0.0051,0.22,0.0853,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_095.csv,0,57.34,26.94,61.20,24.50,15.76,14.33,192,770,38,0.95,53,0.0054,0.20,0.0755,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_096.csv,0,57.34,26.94,61.11,24.50,15.39,13.99,192,770,38,0.95,53,0.0052,0.19,0.0629,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_097.csv,0,57.34,26.94,61.03,24.50,15.06,13.70,192,770,38,0.95,53,0.0053,0.17,0.0496,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_098.csv,0,57.34,26.94,60.94,24.50,14.69,13.36,192,770,38,0.95,53,0.0052,0.15,0.0358,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_099.csv,0,57.34,26.94,60.86,24.50,14.37,13.07,192,770,38,0.95,53,0.0049,0.13,0.0176,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_100.csv,0,57.34,26.94,60.78,24.50,14.04,12.77,192,770,38,0.95,53,0.0057,0.10,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_101.csv,0,57.34,26.94,60.70,24.50,13.71,12.47,192,770,38,0.95,53,0.0065,0.08,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_102.csv,0,57.34,26.94,60.62,24.50,13.39,12.18,192,770,38,0.95,53,0.0079,0.06,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_103.csv,0,57.34,26.94,60.55,24.50,13.10,11.92,192,770,38,0.95,53,0.0086,0.04,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_104.csv,0,57.34,26.94,60.48,24.50,12.82,11.66,192,770,38,0.95,53,0.0087,0.04,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_105.csv,0,57.34,26.94,60.40,24.50,12.49,11.36,192,770,38,0.95,53,0.0096,0.03,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_106.csv,0,57.34,26.94,60.33,24.50,12.20,11.10,192,770,38,0.95,53,0.0108,0.03,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_107.csv,0,57.34,26.94,60.26,24.50,11.92,10.84,192,770,38,0.95,53,0.0105,0.02,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_108.csv,0,57.34,26.94,60.20,24.50,11.67,10.62,192,770,38,0.95,53,0.0094,0.02,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_109.csv,0,57.34,26.94,60.13,24.50,11.39,10.36,192,770,38,0.95,53,0.0094,0.02,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_110.csv,0,57.34,26.94,60.07,24.50,11.14,10.13,192,770,38,0.95,53,0.0115,0.03,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_111.csv,0,57.34,26.94,60.01,24.50,10.90,9.91,192,770,38,0.95,53,0.0112,0.02,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_112.csv,0,57.34,26.94,59.95,24.50,10.65,9.69,192,770,38,0.95,53,0.0106,0.02,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_113.csv,0,57.34,26.94,59.89,24.50,10.41,9.47,192,770,38,0.95,53,0.0109,0.02,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_114.csv,0,57.34,26.94,59.83,24.50,10.16,9.24,192,770,38,0.95,53,0.0119,0.02,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_115.csv,0,57.34,26.94,59.78,24.50,9.96,9.06,192,770,38,0.95,53,0.0094,0.02,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_116.csv,0,57.34,26.94,59.72,24.50,9.71,8.83,192,770,38,0.95,53,0.0133,0.02,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_117.csv,0,57.34,26.94,59.67,24.50,9.51,8.65,192,770,38,0.95,53,0.0095,0.02,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_118.csv,0,57.34,26.94,59.61,24.50,9.27,8.43,192,770,38,0.95,53,0.0113,0.02,0.0000,41.87,7.35,910.85,1.1161,0.0156
