wavelength,Refrac_leafm,SC_chl,SC_car,SC_Anth,SC_Brwon,SC_Cw,SC_Cm,direct_light,diffuse_light,dry_soil,wet_soil
558,1.4709,1.07E-02,1.77E-04,6.15E-02,3.42E-01,6.58E-04,2.30E+00,1.30E+00,1.89E+00,2.63E-01,2.88E-02
559,1.4705,1.09E-02,4.45E-05,6.06E-02,3.41E-01,6.65E-04,2.30E+00,1.31E+00,1.88E+00,2.64E-01,2.88E-02
560,1.4701,1.10E-02,2.13E-13,5.97E-02,3.40E-01,6.72E-04,2.30E+00,1.31E+00,1.88E+00,2.64E-01,2.88E-02
561,1.4697,1.12E-02,0.00E+00,5.86E-02,3.38E-01,6.79E-04,2.30E+00,1.31E+00,1.87E+00,2.65E-01,2.88E-02
562,1.4693,1.14E-02,0.00E+00,5.76E-02,3.37E-01,6.86E-04,2.30E+00,1.31E+00,1.87E+00,2.65E-01,2.88E-02
563,1.4689,1.16E-02,0.00E+00,5.66E-02,3.35E-01,6.92E-04,2.30E+00,1.31E+00,1.86E+00,2.66E-01,2.88E-02
564,1.4685,1.18E-02,0.00E+00,5.55E-02,3.33E-01,6.99E-04,2.30E+00,1.32E+00,1.86E+00,2.66E-01,2.88E-02
565,1.4681,1.21E-02,0.00E+00,5.44E-02,3.31E-01,7.08E-04,2.30E+00,1.32E+00,1.85E+00,2.66E-01,2.88E-02
566,1.4677,1.23E-02,0.00E+00,5.32E-02,3.29E-01,7.18E-04,2.30E+00,1.32E+00,1.85E+00,2.67E-01,2.88E-02
567,1.4673,1.26E-02,0.00E+00,5.21E-02,3.28E-01,7.26E-04,2.30E+00,1.33E+00,1.84E+00,2.67E-01,2.89E-02
568,1.467,1.29E-02,0.00E+00,5.09E-02,3.26E-01,7.34E-04,2.30E+00,1.33E+00,1.84E+00,2.68E-01,2.90E-02
569,1.4666,1.33E-02,0.00E+00,4.97E-02,3.24E-01,7.46E-04,2.30E+00,1.33E+00,1.83E+00,2.68E-01,2.91E-02
570,1.4662,1.36E-02,0.00E+00,4.85E-02,3.22E-01,7.59E-04,2.30E+00,1.33E+00,1.83E+00,2.68E-01,2.91E-02
571,1.4658,1.39E-02,0.00E+00,4.73E-02,3.20E-01,7.73E-04,2.30E+00,1.34E+00,1.82E+00,2.69E-01,2.91E-02
572,1.4654,1.43E-02,0.00E+00,4.62E-02,3.18E-01,7.87E-04,2.30E+00,1.34E+00,1.82E+00,2.69E-01,2.91E-02
573,1.4651,1.47E-02,0.00E+00,4.50E-02,3.16E-01,8.02E-04,2.30E+00,1.34E+00,1.81E+00,2.69E-01,2.91E-02
574,1.4647,1.50E-02,0.00E+00,4.39E-02,3.14E-01,8.19E-04,2.30E+00,1.35E+00,1.81E+00,2.70E-01,2.91E-02
575,1.4643,1.54E-02,0.00E+00,4.28E-02,3.12E-01,8.39E-04,2.30E+00,1.35E+00,1.81E+00,2.70E-01,2.91E-02
