Wvl	alpha
1550	10.635452
1551	10.541211
1552	10.439821
1553	10.317000
1554	10.221000
1555	10.110000
1556	10.004813
1557	9.911589
1558	9.838890
1559	9.753812
1560	9.659635
1561	9.563400
1562	9.477000
1563	9.382600
1564	9.304500
1565	9.201738
1566	9.132595
1567	9.046567
1568	8.977385
1569	8.897591
1570	8.819569
1571	8.742095
1572	8.664555
1573	8.587599
1574	8.509031
1575	8.448195
1576	8.364000
1577	8.295000
1578	8.234100
1579	8.157200
1580	8.104400
1581	8.035700
1582	7.959100
1583	7.889700
1584	7.834000
1585	7.772700
1586	7.711500
1587	7.654400
1588	7.608893
1589	7.547839
1590	7.494498
1591	7.431943
1592	7.374432
1593	7.314503
1594	7.251490
1595	7.202792
1596	7.163914
1597	7.123767
1598	7.083900
1599	7.040900
1600	6.986900
1601	6.943200
1602	6.909764
1603	6.864731
1604	6.827780
1605	6.776302
1606	6.742008
1607	6.713963
1608	6.695100
1609	6.654100
1610	6.629500
1611	6.598744
1612	6.567182
1613	6.525517
1614	6.500580
1615	6.473900
1616	6.448700
1617	6.419481
1618	6.400643
1619	6.362948
1620	6.345400
1621	6.308700
1622	6.281746
1623	6.249990
1624	6.214406
1625	6.185900
1626	6.163300
1627	6.129530
1628	6.120469
1629	6.090539
1630	6.075800
1631	6.053036
1632	6.047482
1633	6.016346
1634	6.004800
1635	5.981808
1636	5.972691
1637	5.946895
1638	5.939500
1639	5.918527
1640	5.911183
1641	5.886700
1642	5.875100
1643	5.846219
1644	5.826078
1645	5.798100
1646	5.787020
1647	5.751017
1648	5.746400
1649	5.718206
1650	5.704628
1651	5.685000
1652	5.683651
1653	5.657169
1654	5.657900
1655	5.643936
1656	5.647635
1657	5.626400
1658	5.625883
1659	5.618776
1660	5.617700
1661	5.602508
1662	5.614200
1663	5.596609
1664	5.603350
1665	5.582000
1666	5.584429
1667	5.564330
1668	5.562839
1669	5.546825
1670	5.545000
1671	5.535977
1672	5.542300
1673	5.528609
1674	5.531929
1675	5.525300
1676	5.533203
1677	5.527800
1678	5.529359
1679	5.516100
1680	5.523541
1681	5.515600
1682	5.526408
1683	5.519704
1684	5.519905
1685	5.515607
1686	5.522015
1687	5.510729
1688	5.526700
1689	5.511326
1690	5.518600
1691	5.514514
1692	5.519500
1693	5.509860
1694	5.518178
1695	5.523156
1696	5.537737
1697	5.535423
1698	5.543829
